Date,Press Release
19930203,0
19930323,0
19930518,0
19930707,0
19930817,0
19930921,0
19931116,0
19931221,0
19940204,0
19940322,0
19940517,0
19940706,0
19940816,0
19940927,0
19941115,0
19941220,0
19950201,0
19950328,0
19950523,0
19950706,0
19950822,0
19950926,0
19951115,0
19951219,0
19960131,0
19960326,0
19960521,0
19960702,0
19960820,0
19960924,0
19961113,0
19961217,0
19970204,0
19970325,0
19970520,0
19970701,0
19970819,0
19970930,0
19971112,0
19971216,0
19980203,0
19980331,0
19980519,0
19980630,0
19980818,0
19980929,0
19981117,0
19981222,0
19990202,0
19990330,0
19990518,0
19990630,0
19990824,0
19991005,0
19991116,0
19991221,0
20000202,0
20000321,0
20000516,0
20000628,0
20000822,0
20001003,0
20001115,0
20001219,0
20010131,0
20010320,0
20010515,0
20010627,0
20010821,0
20011002,0
20011106,0
20011211,0
20020130,0
20020319,0
20020507,0
20020626,0
20020813,0
20020924,0
20021106,0
20021210,0
20030129,0
20030318,0
20030506,0
20030625,0
20030812,0
20030916,0
20031028,0
20031209,0
20040128,0
20040316,0
20040504,0
20040630,0
20040810,0
20040921,0
20041110,0
20041214,0
20050202,0
20050322,0
20050503,0
20050630,0
20050809,0
20050920,0
20051101,0
20051213,0
20060131,0
20060328,0
20060510,0
20060629,0
20060808,0
20060920,0
20061025,0
20061212,0
20070131,0
20070321,0
20070509,0
20070628,0
20070807,0
20070918,0
20071031,0
20071211,0
20080130,0
20080318,0
20080430,0
20080625,0
20080805,0
20080916,0
20081029,0
20081216,0
20090128,0
20090318,0
20090429,0
20090624,0
20090812,0
20090923,0
20091104,0
20091216,0
20100127,0
20100316,0
20100428,0
20100623,0
20100810,0
20100921,0
20101103,0
20101214,0
20110126,0
20110315,0
20110427,1
20110622,1
20110809,0
20110921,0
20111102,1
20111213,0
20120125,1
20120313,0
20120425,1
20120620,1
20120801,0
20120913,1
20121024,0
20121212,1
20130130,0
20130320,1
20130501,0
20130619,1
20130731,0
20130918,1
20131030,0
20131218,1
20140129,0
20140319,1
20140430,0
20140618,1
20140730,0
20140917,1
20141029,0
20141217,1
20150128,0
20150318,1
20150429,0
20150617,1
20150729,0
20150917,1
20151028,0
20151216,1
20160127,0
20160316,1
20160427,0
20160615,1
20160727,0
20160921,1
20161102,0
20161214,1
20170201,0
20170315,1
20170503,0
20170614,1
20170726,0
20170920,1
20171101,0
20171213,1
20180131,0
20180321,1
20180502,0
20180613,1
20180801,0
20180926,1
20181108,0
20181219,1
20190130,1
20190320,1
20190501,1
20190619,1
20190731,1
20190918,1
20191030,1
20191211,1
20200129,1
20200315,1
20200429,1
20200610,1
20200729,1
20200916,1
20201105,1
19930326,0
19930521,0
19930709,0
19930820,0
19930924,0
19931119,0
19931223,0
19940325,0
19940520,0
19940708,0
19940819,0
19940930,0
19941118,0
19941222,0
19950203,0
19950331,0
19950526,0
19950707,0
19950825,0
19950929,0
19951117,0
19951222,0
19960202,0
19960329,0
19960524,0
19960705,0
19960823,0
19960927,0
19961115,0
19961220,0
19970206,0
19970327,0
19970522,0
19970703,0
19970821,0
19971002,0
19971113,0
19971218,0
19980205,0
19980402,0
19980521,0
19980702,0
19980820,0
19981001,0
19981119,0
19981223,0
19990204,0
19990401,0
19990520,0
19990701,0
19990826,0
19991007,0
19991118,0
19991223,0
20000203,0
20000323,0
20000518,0
20000629,0
20000824,0
20001005,0
20001116,0
20001221,0
20010201,0
20010322,0
20010517,0
20010628,0
20010823,0
20011004,0
20011108,0
20011213,0
20020131,0
20020321,0
20020509,0
20020627,0
20020815,0
20020926,0
20021107,0
20021212,0
20030130,0
20030320,0
20030508,0
20030626,0
20030814,0
20030918,0
20031030,0
20031211,0
20040129,0
20040318,0
20040506,0
20040701,0
20040812,0
20040923,0
20041111,0
20041216,0
20050104,0
20050223,0
20050412,0
20050524,0
20050721,0
20050830,0
20051011,0
20051122,0
20060103,0
20060221,0
20060418,0
20060531,0
20060720,0
20060829,0
20061011,0
20061115,0
20070103,0
20070221,0
20070411,0
20070530,0
20070719,0
20070828,0
20071009,0
20071120,0
20080102,0
20080220,0
20080408,0
20080521,0
20080716,0
20080826,0
20081007,0
20081119,0
20090106,0
20090218,0
20090408,0
20090520,0
20090715,0
20090902,0
20091014,0
20091124,0
20100106,0
20100217,0
20100406,0
20100519,0
20100714,0
20100831,0
20101012,0
20101123,0
20110104,0
20110216,0
20110405,0
20110518,1
20110712,1
20110830,0
20111012,0
20111122,1
20120103,0
20120215,1
20120403,0
20120516,1
20120711,1
20120822,0
20121004,1
20121114,0
20130103,1
20130220,0
20130410,1
20130522,0
20130710,1
20130821,0
20131009,1
20131120,0
20140108,1
20140219,0
20140409,1
20140521,0
20140709,1
20140820,0
20141008,1
20141119,0
20150107,1
20150218,0
20150408,1
20150520,0
20150708,1
20150819,0
20151008,1
20151118,0
20160106,1
20160217,0
20160406,1
20160518,0
20160706,1
20160817,0
20161012,1
20161123,0
20170104,1
20170222,0
20170405,1
20170524,0
20170705,1
20170816,0
20171011,1
20171122,0
20180103,1
20180221,0
20180411,1
20180523,0
20180705,1
20180822,0
20181017,1
20181129,0
20190109,1
20190220,1
20190410,1
20190522,1
20190710,1
20190821,1
20191009,1
20191120,1
20200103,1
20200219,1
20200408,1
20200520,1
20200701,1
20200819,1
20201007,1
20201126,1
